##GLOSSELISTE - gloser##
Ilisimatusarfik	Grønlands universitet
oqaluttuarisaaneq	historie (som fag)
oqar	at sige
oqarfigi	at sige til nogen
paari	at passe det
paasi	at forstå det
panik	en datter
pavani	derinde
pi	at vedrøre det
piareer	at være klar
pilersaarut	en plan
pingaar	at være vigtig
pingasut	tre
pisimasoq	en hændelse
pissut	en årsag
Pituffik	Thule Air Base
poortugaq	en pakke
qaammat	en måned
qaangiup	at være gået forbi
qaartartoq	en bombe
qallunaaq	en dansker
qanga	hvornår
qangali	for længe siden
qarasaasiaq	en computer
qatanngut	en bror/ søster
qimap	at forlade ham
qimarnguik	et tilflugtssted
qinnut	en bøn
qiteq	en midte
qularnar	at være tvivlsomt
qulә	rummet ovenover POSSESSOR
sakkutooq	en soldat
sakkutooqarfik	en base
sammisari	at beskæftige sig med det
sana	at bygge den
sapinngisamik	efter bedste evne
sermersuaq	indlandsisen
sinner	at repræsentere ham
sisamat	fire
siulleq	den første
sivikip	at være kortvarig
sooq	hvorfor
soorunami	selvfølgelig
soqutigi	at interessere sig for det
soqutiginar	at være interessant
sorsunneq	en krig
su	at gøre ???
suli	at arbejde
suliaq	et arbejde
suliffik	et arbejde
suna	hvad/ hvilken
sungiup	at vænne sig til det
taa	at nævne det
taaguut	en betegnelse
taakku	de
taama	således
taamaammat	derfor
taamaap	at være således
taamaatip	at opgive
taamak	således
taamani	dengang
taanna	han/ hun/ den/ det
taava	så
takisooq	en lang
taku	at se det
tallimat	fem
tamanna	dette her
tamakku	disse
tamarmik	alle
tamatta	vi alle
tassa	dvs.
tikip	at ankomme til den
tulluar	at være passende
timmisartoq	en flyvemaskine
tunuliaqut	en baggrund
Tusagassiornermik Ilinniarfik	Journalistuddannelsen
tusagassiortoq	en journalist
tusar	at høre det
tusilar	at være døv
tutsiuteqqip	at lade høre fra sig igen
uagut	vi
uanga	jeg
uani	her
uannit	fra mig
uannut	til mig
ukii	at overvintre
ukioq	et år, en vinter
ulapaar	at have meget travlt
ulloq	en dag
ullumi	i dag
ungasip	at være langt borte
unip	at standse
upernaaq	et forår
usi	at fragte

##GLOSSELISTE - endelser##
<Adjektiv	adjektiv/tillægsord
<Partikel	småord
<Pronomen	pronomen/stedord
<Talord
<Absolut	absolut/grundfald
<Relativ	relativ/ejefald
<Terminalis	terminalis/mut-kasus
<Lokalis	lokalis/mi-kasus
<Instrumentalis	instrumentalis/mik-kasus
<Aequalis	aequalis/tut-kasus
<Ablativ	ablativ/mit-kasus
<Vialis	vialis/kkut-kasus
<Indikativ	indikativ/fremsættemåde
<Interrogativ	interrogativ/spørgemåde
<Participium	participium/at-sætning
<Ledsagemåde	ledsagemåde/at-sætning
<Imperativ	imperativ/bydemåde
<Causativ	causativ/da-fordi måde
<Optativ	optativ/ønskemåde
<flertal	Flertal
<ental	Ental
<vi	vi
<jeg	jeg
<du	du
<han	han/der er
<I	I
<de	de
<han_selv	coreferentiel han
<de_selv	coreferentiel de
<JegJer	jeg-Jer
<JegHam	jeg-ham
<JegDem	jeg-dem
<ViHam	vi-ham
<ViDem	vi-dem
<DuHam	du-ham
<DuDem	du-dem
<I_Ham	I-ham
<HanMig	han-mig
<HanHam	han-ham
<HanDem	han-dem
<DeMig	de-mig
<DeHam	de-ham
<mig	mig
<ham	ham
<dem	dem
<min	min/mine
<hans	hans/dens
<deres	deres
<sin	sin/sine
<deres_egen	coreferentiel deres

##GLOSSELISTE - efterhæng##
+LI	men
+LU	og
+LUUNNIIT	eller
+UNA	her er .. / det er ..

##GLOSSELISTE - tilhæng##
+GALUAR	at Vb-e ellers
+GӘ	objektet er subjektets N
+GIARTUR	at gå hen for at Vb
+GIIT	som er hinandens N
+GUNNAAR	at holde op med at Vb
+GUSUP	at ville Vb
+IP	at være i/ på ..
+LUAR	at Vb godt
+LUINNAR	at Vb helt og holdent
+MIU	en N-beboer
+NIAR	at ville Vb-e
+NIAR=NNGIT	ikke at ville Vb
+NIKUU	at have Vb engang
+NIQ	den ting at Vb-e
+NIQAR	passiv
+NIR	at Vb mon
+NIRPAAQ	den, der er mest Vb
+NIRU	at Vb mere
+PASSUAQ	mange N
+SIMA	at Vb-e over tid
+SIMA=TAR	at Vb-e over tid gentagent
+SINNAA	at kunne Vb-e
+SIUR	at søge efter N
+TAAR	at få en (ny) N
+TAR	at pleje at Vb-e
+TAR=GALUAR	at ellers pleje at Vb
+TAR=SSA=GALUAR	at burde pleje at Vb
+TARIAQAR	nødvendigvis Vb
+TIGӘ	så Vb som ...
+TIP	at få nogen til at Vb
+TUQ	en, der Vb-er
+TUQ=RUJUK=SUAQ=U	at Vb meget stærkt
+TUQ=RUJUK=RUJUK=SUAQ=U - at Vb meget, meget stærkt
+TUQ=SSAQ=U	fremtidig Vb
+VALLAAR	at Vb for meget
+VALLAAR=NNGIT	ikke særligt Vb

-INNAQ	en simpel N
-INNAR	bare at Vb
-IR	at foretage sig noget med N
-KAR	at tage til
-KKUT	kollektivet N
-KU	en gammel/ forhenværende N
-LAAR	at Vb-e lidt
-LAAR=TAR	at Vb-e lidt gentagent
-LIK	en, som har N
-LIR	at begynde at Vb-e
-LIR_nv	at forsyne ham med N
-LIRI	at arbejde med N
-NNGIT	ikke Vb-e
-NNGUAQ	en lille (sød)
-NNGUR	at blive N
-QAR	at have N/ der er N
-QӘ	at Vb stærkt
-QQAAR	at Vb først
-QQU	at pålægge nogen at Vb
-RIAR	straks efter at have Vb
-RIIR	at være færdig med at Vb
-RUJUK	en stor N
-RUJUK=SUAQ	en meget stor N
-SSA	at Vb-e fremtidigt
-SSA=GALUAR	skulle have Vb-et
-SSAQ	en kommende N
-SSAQ-U+GALUAQ	N, som skulle have været nogens
-U	at være N
+FIK	stedet el. lejligheden for Vb
-VIP	at Vb stærkt
