Aasiaalli	Aasiaat+LI
Finlandimili	Finland-mi+LI
Finlandimilli	Finland-mik+LI
Finlandimillu	Finland-mik+LU
Finlandimilu	Finland-mi+LU
Finlandimioqarpoq	Finland+MIU-QAR+vuq
Finlandimioqarporli	Finland+MIU-QAR+vuq+LI
Finlandimioqarporlu	Finland+MIU-QAR+vuq+LU
Finlandimioqassavoq	Finland+MIU-QAR-SSA+vuq
Finlandimioqassavorli	Finland+MIU-QAR-SSA+vuq+LI
Finlandimioqassavorlu	Finland+MIU-QAR-SSA+vuq+LU
Finlandimiu	Finland+MIU
Finlandimiuli	Finland+MIU+LI
Finlandimiulu	Finland+MIU+LU
Finlandimiumi	Finland+MIU-mi
Finlandimiumik	Finland+MIU-mik
Finlandimiumili	Finland+MIU-mi+LI
Finlandimiumilu	Finland+MIU-mi+LU
Finlandimiumilli	Finland+MIU-mik+LI
Finlandimiumillu	Finland+MIU-mik+LU
Finlandimiuussavoq	Finland+MIU-U-SSA+vuq
Finlandimiuussavorli	Finland+MIU-U-SSA+vuq+LI
Finlandimiuussavorlu	Finland+MIU-U-SSA+vuq+LU
Finlandimiuussavunga	Finland+MIU-U-SSA+vuŋa
Finlandimiuussavungali	Finland+MIU-U-SSA+vuŋa+LI
Finlandimiuussavungalu	Finland+MIU-U-SSA+vuŋa+LU
Finlandimiuuvoq	Finland+MIU-U+vuq
Finlandimiuuvorli	Finland+MIU-U+vuq+LI
Finlandimiuuvorlu	Finland+MIU-U+vuq+LU
Finlandimiuuvunga	Finland+MIU-U+vuŋa
Finlandimiuuvungali	Finland+MIU-U+vuŋa+LI
Finlandimiuuvungalu	Finland+MIU-U+vuŋa+LU
Gentofte	Gentofte
Gentofteli	Gentofte+LI
Gentoftelu	Gentofte+LU
Gentoftemi	Gentofte-mi
Gentoftemik	Gentofte-mik
Gentoftemili	Gentofte-mi+LI
Gentoftemilli	Gentofte-mik+LI
Gentoftemillu	Gentofte-mik+LU
Gentoftemilu	Gentofte-mi+LU
Gentoftemioqarpoq	Gentofte+MIU-QAR+vuq
Gentoftemioqarporli	Gentofte+MIU-QAR+vuq+LI
Gentoftemioqarporlu	Gentofte+MIU-QAR+vuq+LU
Gentoftemioqassavoq	Gentofte+MIU-QAR-SSA+vuq
Gentoftemioqassavorli	Gentofte+MIU-QAR-SSA+vuq+LI
Gentoftemioqassavorlu	Gentofte+MIU-QAR-SSA+vuq+LU
Gentoftemiu	Gentofte+MIU
Gentoftemiuli	Gentofte+MIU+LI
Gentoftemiumi	Gentofte+MIU-mi
Gentoftemiumik	Gentofte+MIU-mik
Gentoftemiumili	Gentofte+MIU-mi+LI
Gentoftemiumilu	Gentofte+MIU-mi+LU
Gentoftemiuussavoq	Gentofte+MIU-U-SSA+vuq
Gentoftemiuussavorli	Gentofte+MIU-U-SSA+vuq+LI
Gentoftemiuussavorlu	Gentofte+MIU-U-SSA+vuq+LU
Gentoftemiuussavunga	Gentofte+MIU-U-SSA+vuŋa
Gentoftemiuussavungali	Gentofte+MIU-U-SSA+vuŋa+LI
Gentoftemiuussavungalu	Gentofte+MIU-U-SSA+vuŋa+LU
Gentoftemiuuvoq	Gentofte+MIU-U+vuq
Gentoftemiuuvorli	Gentofte+MIU-U+vuq+LI
Gentoftemiuuvorlu	Gentofte+MIU-U+vuq+LU
Gentoftemiuuvunga	Gentofte+MIU-U+vuŋa
Gentoftemiuuvungali	Gentofte+MIU-U+vuŋa+LI
Gentoftemiuuvungalu	Gentofte+MIU-U+vuŋa+LU
Illoqqortoormiormioqarpoq	Illoqqortoormiut+MIU-QAR+vuq
Illoqqortoormiormioqarporli	Illoqqortoormiut+MIU-QAR+vuq+LI
Illoqqortoormiormioqarporlu	Illoqqortoormiut+MIU-QAR+vuq+LU
Illoqqortoormiormioqassavoq	Illoqqortoormiut+MIU-QAR-SSA+vuq
Illoqqortoormiormioqassavorli	Illoqqortoormiut+MIU-QAR-SSA+vuq+LI
Illoqqortoormiormioqassavorlu	Illoqqortoormiut+MIU-QAR-SSA+vuq+LU
Illoqqortoormiormiu	Illoqqortoormiut+MIU
Illoqqortoormiormiuli	Illoqqortoormiut+MIU+LI
Illoqqortoormiormiulu	Illoqqortoormiut+MIU+LU
Illoqqortoormiormiumi	Illoqqortoormiut+MIU-mi
Illoqqortoormiormiumik	Illoqqortoormiut+MIU-mik
Illoqqortoormiormiumili	Illoqqortoormiut+MIU-mi+LI
Illoqqortoormiormiumilli	Illoqqortoormiut+MIU-mik+LI
Illoqqortoormiormiumillu	Illoqqortoormiut+MIU-mik+LU
Illoqqortoormiormiumilu	Illoqqortoormiut+MIU-mi+LU
Illoqqortoormiormiuussavoq	Illoqqortoormiut+MIU-U-SSA+vuq
Illoqqortoormiormiuussavorli	Illoqqortoormiut+MIU-U-SSA+vuq+LI
Illoqqortoormiormiuussavorlu	Illoqqortoormiut+MIU-U-SSA+vuq+LU
Illoqqortoormiormiuussavunga	Illoqqortoormiut+MIU-U-SSA+vuŋa
Illoqqortoormiormiuussavungali	Illoqqortoormiut+MIU-U-SSA+vuŋa+LI
Illoqqortoormiormiuussavungalu	Illoqqortoormiut+MIU-U-SSA+vuŋa+LU
Illoqqortoormiormiuuvoq	Illoqqortoormiut+MIU-U+vuq
Illoqqortoormiormiuuvorli	Illoqqortoormiut+MIU-U+vuq+LI
Illoqqortoormiormiuuvorlu	Illoqqortoormiut+MIU-U+vuq+LU
Illoqqortoormiormiuuvunga	Illoqqortoormiut+MIU-U+vuŋa
Illoqqortoormiormiuuvungali	Illoqqortoormiut+MIU-U+vuŋa+LI
Illoqqortoormiormiuuvungalu	Illoqqortoormiut+MIU-U+vuŋa+LU
Illoqqortoormiulli	Illoqqortoormiut+LI
Illoqqortoormiullu	Illoqqortoormiut+LU
Illoqqortoormiut	Illoqqortoormiut
Iluliarmioqarpoq	Ilulissat+MIU-QAR+vuq
Iluliarmioqarporli	Ilulissat+MIU-QAR+vuq+LI
Iluliarmioqarporlu	Ilulissat+MIU-QAR+vuq+LU
Iluliarmioqassavoq	Ilulissat+MIU-QAR-SSA+vuq
Iluliarmioqassavorli	Ilulissat+MIU-QAR-SSA+vuq+LI
Iluliarmioqassavorlu	Ilulissat+MIU-QAR-SSA+vuq+LU
Iluliarmiu	Ilulissat+MIU
Iluliarmiuli	Ilulissat+MIU+LI
Iluliarmiulu	Ilulissat+MIU+LU
Iluliarmiumi	Ilulissat+MIU-mi
Iluliarmiumik	Ilulissat+MIU-mik
Iluliarmiumili	Ilulissat+MIU-mi+LI
Iluliarmiumillu	Ilulissat+MIU-mik+LU
Iluliarmiumilu	Ilulissat+MIU-mi+LU
Iluliarmiuussavoq	Ilulissat+MIU-U-SSA+vuq
Iluliarmiuussavorli	Ilulissat+MIU-U-SSA+vuq+LI
Iluliarmiuussavorlu	Ilulissat+MIU-U-SSA+vuq+LU
Iluliarmiuussavunga	Ilulissat+MIU-U-SSA+vuŋa
Iluliarmiuussavungali	Ilulissat+MIU-U-SSA+vuŋa+LI
Iluliarmiuussavungalu	Ilulissat+MIU-U-SSA+vuŋa+LU
Iluliarmiuuvoq	Ilulissat+MIU-U+vuq
Iluliarmiuuvorli	Ilulissat+MIU-U+vuq+LI
Iluliarmiuuvorlu	Ilulissat+MIU-U+vuq+LU
Iluliarmiuuvunga	Ilulissat+MIU-U+vuŋa
Iluliarmiuuvungali	Ilulissat+MIU-U+vuŋa+LI
Iluliarmiuuvungalu	Ilulissat+MIU-U+vuŋa+LU
Ilulissalli	Ilulissat+LI
Ilulissallu	Ilulissat+LU
Ilulissat	Ilulissat
Ivittoormioqarpoq	Ivittuut+MIU-QAR+vuq
Ivittoormioqarporli	Ivittuut+MIU-QAR+vuq+LI
Ivittoormioqarporlu	Ivittuut+MIU-QAR+vuq+LU
Ivittoormioqassavoq	Ivittuut+MIU-QAR-SSA+vuq
Ivittoormioqassavorli	Ivittuut+MIU-QAR-SSA+vuq+LI
Ivittoormioqassavorlu	Ivittuut+MIU-QAR-SSA+vuq+LU
Ivittoormiu	Ivittuut+MIU
Ivittoormiuli	Ivittuut+MIU+LI
Ivittoormiulu	Ivittuut+MIU+LU
Ivittoormiumi	Ivittuut+MIU-mi
Ivittoormiumik	Ivittuut+MIU-mik
Ivittoormiumili	Ivittuut+MIU-mi+LI
Ivittoormiumilli	Ivittuut+MIU-mik+LI
Ivittoormiumillu	Ivittuut+MIU-mik+LU
Ivittoormiumilu	Ivittuut+MIU-mi+LU
Ivittoormiuussavoq	Ivittuut+MIU-U-SSA+vuq
Ivittoormiuussavorli	Ivittuut+MIU-U-SSA+vuq+LI
Ivittoormiuussavorlu	Ivittuut+MIU-U-SSA+vuq+LU
Ivittoormiuussavunga	Ivittuut+MIU-U-SSA+vuŋa
Ivittoormiuussavungali	Ivittuut+MIU-U-SSA+vuŋa+LI
Ivittoormiuussavungalu	Ivittuut+MIU-U-SSA+vuŋa+LU
Ivittoormiuuvoq	Ivittuut+MIU-U+vuq
Ivittoormiuuvorli	Ivittuut+MIU-U+vuq+LI
Ivittoormiuuvorlu	Ivittuut+MIU-U+vuq+LU
Ivittoormiuuvunga	Ivittuut+MIU-U+vuŋa
Ivittoormiuuvungali	Ivittuut+MIU-U+vuŋa+LI
Ivittoormiuuvungalu	Ivittuut+MIU-U+vuŋa+LU
Ivittuulli	Ivittuut+LI
Ivittuullu	Ivittuut+LU
Ivittuut	Ivittuut
Kangaatsiami	Kangaatsiaq-mi
Kangaatsiamik	Kangaatsiaq-mik
Kangaatsiamili	Kangaatsiaq-mi+LI
Kangaatsiamilli	Kangaatsiaq-mik+LI
Kangaatsiamillu	Kangaatsiaq-mik+LU
Kangaatsiamilu	Kangaatsiaq-mi+LU
Kangaatsiaq	Kangaatsiaq
Kangaatsiarli	Kangaatsiaq+LI
Kangaatsiarlu	Kangaatsiaq+LU
Kangaatsiarmioqarpoq	Kangaatsiaq+MIU-QAR+vuq
Kangaatsiarmioqarporli	Kangaatsiaq+MIU-QAR+vuq+LI
Kangaatsiarmioqarporlu	Kangaatsiaq+MIU-QAR+vuq+LU
Kangaatsiarmioqassavoq	Kangaatsiaq+MIU-QAR-SSA+vuq
Kangaatsiarmioqassavorli	Kangaatsiaq+MIU-QAR-SSA+vuq+LI
Kangaatsiarmioqassavorlu	Kangaatsiaq+MIU-QAR-SSA+vuq+LU
Kangaatsiarmiu	Kangaatsiaq+MIU
Kangaatsiarmiuli	Kangaatsiaq+MIU+LI
Kangaatsiarmiulu	Kangaatsiaq+MIU+LU
Kangaatsiarmiumi	Kangaatsiaq+MIU-mi
Kangaatsiarmiumik	Kangaatsiaq+MIU-mik
Kangaatsiarmiumili	Kangaatsiaq+MIU-mi+LI
Kangaatsiarmiumilli	Kangaatsiaq+MIU-mik+LI
Kangaatsiarmiumillu	Kangaatsiaq+MIU-mik+LU
Kangaatsiarmiuussavoq	Kangaatsiaq+MIU-U-SSA+vuq
Kangaatsiarmiuussavorli	Kangaatsiaq+MIU-U-SSA+vuq+LI
Kangaatsiarmiuussavunga	Kangaatsiaq+MIU-U-SSA+vuŋa
Kangaatsiarmiuussavungalu	Kangaatsiaq+MIU-U-SSA+vuŋa+LU
Kangaatsiarmiuuvoq	Kangaatsiaq+MIU-U+vuq
Kangaatsiarmiuuvorli	Kangaatsiaq+MIU-U+vuq+LI
Kangaatsiarmiuuvorlu	Kangaatsiaq+MIU-U+vuq+LU
Kangaatsiarmiuuvunga	Kangaatsiaq+MIU-U+vuŋa
Kangaatsiarmiuuvungali	Kangaatsiaq+MIU-U+vuŋa+LI
Kangaatsiarmiuuvungalu	Kangaatsiaq+MIU-U+vuŋa+LU
Langgård	Langgård
Langgårdeqarpoq	Langgård-QAR+vuq
Langgårdeqarporli	Langgård-QAR+vuq+LI
Langgårdeqarporlu	Langgård-QAR+vuq+LU
Langgårdeqassavoq	Langgård-QAR-SSA+vuq
Langgårdeqassavorli	Langgård-QAR-SSA+vuq+LI
Langgårdeqassavorlu	Langgård-QAR-SSA+vuq+LU
Langgårdili	Langgård+LI
Langgårdilu	Langgård+LU
Langgårdimi	Langgård-mi
Langgårdimik	Langgård-mik
Langgårdimili	Langgård-mi+LI
Langgårdimilli	Langgård-mik+LI
Langgårdimillu	Langgård-mik+LU
Langgårdimilu	Langgård-mi+LU
Langgårdiussavoq	Langgård-U-SSA+vuq
Langgårdiussavorli	Langgård-U-SSA+vuq+LI
Langgårdiussavorlu	Langgård-U-SSA+vuq+LU
Langgårdiussavunga	Langgård-U-SSA+vuŋa
Langgårdiussavungali	Langgård-U-SSA+vuŋa+LI
Langgårdiuvoq	Langgård-U+vuq
Langgårdiuvorli	Langgård-U+vuq+LI
Langgårdiuvorlu	Langgård-U+vuq+LU
Langgårdiuvunga	Langgård-U+vuŋa
Langgårdiuvungali	Langgård-U+vuŋa+LI
Maniitsoq	Maniitsoq
Maniitsorli	Maniitsoq+LI
Maniitsorlu	Maniitsoq+LU
Maniitsormioqarpoq	Maniitsoq+MIU-QAR+vuq
Maniitsormioqarporli	Maniitsoq+MIU-QAR+vuq+LI
Maniitsormioqarporlu	Maniitsoq+MIU-QAR+vuq+LU
Maniitsormioqassavoq	Maniitsoq+MIU-QAR-SSA+vuq
Maniitsormioqassavorli	Maniitsoq+MIU-QAR-SSA+vuq+LI
Maniitsormioqassavorlu	Maniitsoq+MIU-QAR-SSA+vuq+LU
Maniitsormiu	Maniitsoq+MIU
Maniitsormiuli	Maniitsoq+MIU+LI
Maniitsormiulu	Maniitsoq+MIU+LU
Maniitsormiumi	Maniitsoq+MIU-mi
Maniitsormiumik	Maniitsoq+MIU-mik
Maniitsormiumili	Maniitsoq+MIU-mi+LI
Maniitsormiumilli	Maniitsoq+MIU-mik+LI
Maniitsormiumillu	Maniitsoq+MIU-mik+LU
Maniitsormiumilu	Maniitsoq+MIU-mi+LU
Maniitsormiuussavoq	Maniitsoq+MIU-U-SSA+vuq
Maniitsormiuussavorli	Maniitsoq+MIU-U-SSA+vuq+LI
Maniitsormiuussavorlu	Maniitsoq+MIU-U-SSA+vuq+LU
Maniitsormiuussavunga	Maniitsoq+MIU-U-SSA+vuŋa
Maniitsormiuussavungali	Maniitsoq+MIU-U-SSA+vuŋa+LI
Maniitsormiuussavungalu	Maniitsoq+MIU-U-SSA+vuŋa+LU
Maniitsormiuuvoq	Maniitsoq+MIU-U+vuq
Maniitsormiuuvorli	Maniitsoq+MIU-U+vuq+LI
Maniitsormiuuvorlu	Maniitsoq+MIU-U+vuq+LU
Maniitsormiuuvunga	Maniitsoq+MIU-U+vuŋa
Maniitsormiuuvungali	Maniitsoq+MIU-U+vuŋa+LI
Maniitsormiuuvungalu	Maniitsoq+MIU-U+vuŋa+LU
Maniitsumi	Maniitsoq-mi
Maniitsumik	Maniitsoq-mik
Maniitsumili	Maniitsoq-mi+LI
Maniitsumilli	Maniitsoq-mik+LI
Maniitsumillu	Maniitsoq-mik+LU
Maniitsumilu	Maniitsoq-mi+LU
Nanortalik	Nanortalik
Nanortalilli	Nanortalik+LI
Nanortalillu	Nanortalik+LU
Nanortalimmi	Nanortalik+mi
Nanortalimmik	Nanortalik+mik
Nanortalimmili	Nanortalik+mi+LI
Nanortalimmilli	Nanortalik+mik+LI
Nanortalimmillu	Nanortalik+mik+LU
Nanortalimmilu	Nanortalik+mi+LU
Nanortalimmioqarpoq	Nanortalik+MIU-QAR+vuq
Nanortalimmioqarporli	Nanortalik+MIU-QAR+vuq+LI
Nanortalimmioqarporlu	Nanortalik+MIU-QAR+vuq+LU
Nanortalimmioqassavoq	Nanortalik+MIU-QAR-SSA+vuq
Nanortalimmioqassavorli	Nanortalik+MIU-QAR-SSA+vuq+LI
Nanortalimmioqassavorlu	Nanortalik+MIU-QAR-SSA+vuq+LU
Nanortalimmiu	Nanortalik+MIU
Nanortalimmiuli	Nanortalik+MIU+LI
Nanortalimmiumi	Nanortalik+MIU-mi
Nanortalimmiumik	Nanortalik+MIU-mik
Nanortalimmiumillu	Nanortalik+MIU-mik+LU
Nanortalimmiuussavoq	Nanortalik+MIU-U-SSA+vuq
Nanortalimmiuussavorli	Nanortalik+MIU-U-SSA+vuq+LI
Nanortalimmiuussavunga	Nanortalik+MIU-U-SSA+vuŋa
Nanortalimmiuussavungali	Nanortalik+MIU-U-SSA+vuŋa+LI
Nanortalimmiuussavungalu	Nanortalik+MIU-U-SSA+vuŋa+LU
Nanortalimmiuuvoq	Nanortalik+MIU-U+vuq
Nanortalimmiuuvorli	Nanortalik+MIU-U+vuq+LI
Nanortalimmiuuvorlu	Nanortalik+MIU-U+vuq+LU
Nanortalimmiuuvunga	Nanortalik+MIU-U+vuŋa
Nanortalimmiuuvungali	Nanortalik+MIU-U+vuŋa+LI
Nanortalimmiuuvungalu	Nanortalik+MIU-U+vuŋa+LU
Narsami	Narsaq-mi
Narsamik	Narsaq-mik
Narsamili	Narsaq-mi+LI
Narsamilli	Narsaq-mik+LI
Narsamillu	Narsaq-mik+LU
Narsamilu	Narsaq-mi+LU
Narsaq	Narsaq
Narsarli	Narsaq+LI
Narsarlu	Narsaq+LU
Narsarmioqarpoq	Narsaq+MIU-QAR+vuq
Narsarmioqarporli	Narsaq+MIU-QAR+vuq+LI
Narsarmioqarporlu	Narsaq+MIU-QAR+vuq+LU
Narsarmioqassavoq	Narsaq+MIU-QAR-SSA+vuq
Narsarmioqassavorli	Narsaq+MIU-QAR-SSA+vuq+LI
Narsarmioqassavorlu	Narsaq+MIU-QAR-SSA+vuq+LU
Narsarmiu	Narsaq+MIU
Narsarmiulu	Narsaq+MIU+LU
Narsarmiumi	Narsaq+MIU-mi
Narsarmiumik	Narsaq+MIU-mik
Narsarmiumili	Narsaq+MIU-mi+LI
Narsarmiumilli	Narsaq+MIU-mik+LI
Narsarmiumillu	Narsaq+MIU-mik+LU
Narsarmiuussavoq	Narsaq+MIU-U-SSA+vuq
Narsarmiuussavorli	Narsaq+MIU-U-SSA+vuq+LI
Narsarmiuussavunga	Narsaq+MIU-U-SSA+vuŋa
Narsarmiuussavungali	Narsaq+MIU-U-SSA+vuŋa+LI
Narsarmiuuvoq	Narsaq+MIU-U+vuq
Narsarmiuuvorli	Narsaq+MIU-U+vuq+LI
Narsarmiuuvorlu	Narsaq+MIU-U+vuq+LU
Narsarmiuuvunga	Narsaq+MIU-U+vuŋa
Narsarmiuuvungali	Narsaq+MIU-U+vuŋa+LI
Nuuk	Nuuk
Nuulli	Nuuk+LI
Nuullu	Nuuk+LU
Nuummi	Nuuk+mi
Nuummik	Nuuk+mik
Nuummili	Nuuk+mi+LI
Nuummilli	Nuuk+mik+LI
Nuummillu	Nuuk+mik+LU
Nuummilu	Nuuk+mi+LU
Nuummioqarpoq	Nuuk+MIU-QAR+vuq
Nuummioqarporli	Nuuk+MIU-QAR+vuq+LI
Nuummioqarporlu	Nuuk+MIU-QAR+vuq+LU
Nuummioqassavoq	Nuuk+MIU-QAR-SSA+vuq
Nuummioqassavorli	Nuuk+MIU-QAR-SSA+vuq+LI
Nuummioqassavorlu	Nuuk+MIU-QAR-SSA+vuq+LU
Nuummiu	Nuuk+MIU
Nuummiuli	Nuuk+MIU+LI
Nuummiulu	Nuuk+MIU+LU
Nuummiumi	Nuuk+MIU-mi
Nuummiumik	Nuuk+MIU-mik
Nuummiumili	Nuuk+MIU-mi+LI
Nuummiumilli	Nuuk+MIU-mik+LI
Nuummiumillu	Nuuk+MIU-mik+LU
Nuummiumilu	Nuuk+MIU-mi+LU
Nuummiuussavoq	Nuuk+MIU-U-SSA+vuq
Nuummiuussavorli	Nuuk+MIU-U-SSA+vuq+LI
Nuummiuussavorlu	Nuuk+MIU-U-SSA+vuq+LU
Nuummiuussavunga	Nuuk+MIU-U-SSA+vuŋa
Nuummiuussavungali	Nuuk+MIU-U-SSA+vuŋa+LI
Nuummiuussavungalu	Nuuk+MIU-U-SSA+vuŋa+LU
Nuummiuuvoq	Nuuk+MIU-U+vuq
Nuummiuuvorli	Nuuk+MIU-U+vuq+LI
Nuummiuuvorlu	Nuuk+MIU-U+vuq+LU
Nuummiuuvunga	Nuuk+MIU-U+vuŋa
Nuummiuuvungali	Nuuk+MIU-U+vuŋa+LI
Nuummiuuvungalu	Nuuk+MIU-U+vuŋa+LU
Paamiormioqarpoq	Paamiut+MIU-QAR+vuq
Paamiormioqarporli	Paamiut+MIU-QAR+vuq+LI
Paamiormioqarporlu	Paamiut+MIU-QAR+vuq+LU
Paamiormioqassavoq	Paamiut+MIU-QAR-SSA+vuq
Paamiormioqassavorli	Paamiut+MIU-QAR-SSA+vuq+LI
Paamiormioqassavorlu	Paamiut+MIU-QAR-SSA+vuq+LU
Paamiormiu	Paamiut+MIU
Paamiormiuli	Paamiut+MIU+LI
Paamiormiulu	Paamiut+MIU+LU
Paamiormiumi	Paamiut+MIU-mi
Paamiormiumik	Paamiut+MIU-mik
Paamiormiumili	Paamiut+MIU-mi+LI
Paamiormiumilli	Paamiut+MIU-mik+LI
Paamiormiumilu	Paamiut+MIU-mi+LU
Paamiormiuussavoq	Paamiut+MIU-U-SSA+vuq
Paamiormiuussavorli	Paamiut+MIU-U-SSA+vuq+LI
Paamiormiuussavorlu	Paamiut+MIU-U-SSA+vuq+LU
Paamiormiuussavunga	Paamiut+MIU-U-SSA+vuŋa
Paamiormiuussavungali	Paamiut+MIU-U-SSA+vuŋa+LI
Paamiormiuussavungalu	Paamiut+MIU-U-SSA+vuŋa+LU
Paamiormiuuvoq	Paamiut+MIU-U+vuq
Paamiormiuuvorli	Paamiut+MIU-U+vuq+LI
Paamiormiuuvorlu	Paamiut+MIU-U+vuq+LU
Paamiormiuuvunga	Paamiut+MIU-U+vuŋa
Paamiormiuuvungali	Paamiut+MIU-U+vuŋa+LI
